graph_type,num_nodes,num_edges,nodes,edges,ratio_n_m,ratio_m_n,density,starting_node,target_node,path_length,min_degree,max_degree,mean_degree,median_degree,q0.25_degree,q0.75_degree,variation_coefficient_degree,entropy_degree,astar_alg_avg_duration,astar_alg_median_duration,astar_alg_std_duration,astar_alg_avg_memory_used,astar_alg_median_memory_used,astar_alg_std_memory_used,dijkstra_alg_avg_duration,dijkstra_alg_median_duration,dijkstra_alg_std_duration,dijkstra_alg_avg_memory_used,dijkstra_alg_median_memory_used,dijkstra_alg_std_memory_used,bfs_alg_avg_duration,bfs_alg_median_duration,bfs_alg_std_duration,bfs_alg_avg_memory_used,bfs_alg_median_memory_used,bfs_alg_std_memory_used,dfs_alg_avg_duration,dfs_alg_median_duration,dfs_alg_std_duration,dfs_alg_avg_memory_used,dfs_alg_median_memory_used,dfs_alg_std_memory_used
generate_dense_random_graph,4000,826148,4000,826148,0.004841747483501745,206.537,0.10329432358089523,489,1484,2,348,484,413.074,413.0,400.0,426.0,0.04654308569745699,6.287082936465824,10.1370280000001,10.1941482000002,0.11618296164429939,2222032.3333333335,2184747,52752.05311223019,18.075912833333252,18.096069199999874,0.25554605346090103,69815246.66666667,2184559,95644258.3582367,12.17629536666694,12.039859800000158,0.286326368891363,68558895.33333333,311195,96532917.60970025,7.025996299999558,7.039964999999938,0.02799624715323542,68555272.0,351675,96535186.44039035
generate_random_regular_graph,4001,12003,4001,12003,0.3333333333333333,3.0,0.0015,3934,2401,4,6,6,6.0,6.0,6.0,6.0,0.0,-0.0,8.022631200000129,8.086397500000203,0.09448055143617369,44875560.0,578139,62646138.00718544,14.7000780999997,14.627677599999515,0.13434987938271964,43314084.0,583480,60430658.61807584,4.644456600000012,4.642568399999618,0.027855851795128096,43015933.666666664,334235,60465962.496155724,6.042792966666639,6.029899400000431,0.05309619366106951,43063686.666666664,346611,60411169.57612282
generate_delaunay_graph,4002,11982,4002,11982,0.33400100150225337,2.9940029985007497,0.0014966273424147712,3921,2353,7,3,13,5.988005997001499,6.0,5.0,7.0,0.22377184365906017,2.4401948881558213,9.09529316666673,9.141595300000517,0.12863382696492057,44756061.666666664,306315,62861440.23690261,14.262456933333548,14.243054600000505,0.062479478009410526,43142905.0,390631,60461055.01681864,4.009217499999674,4.04997049999929,0.06211260443703064,42966679.333333336,243083,60524954.34959303,10.725864099999853,10.691658099999586,0.06362403281153374,43074777.0,322411,60461004.10501184
generate_dense_random_graph,4003,1577188,4003,1577188,0.0025380614105610746,394.00149887584314,0.19690229828877717,2170,2992,2,702,872,788.0029977516863,788.0,771.0,805.0,0.032463400136160406,6.695874400800299,9.58594016666666,9.606095299999652,0.07671715252548625,307752722.0,2373099,431872892.64540434,20.587722833333526,20.609009900000274,0.04176764831207726,132022485.33333333,2368407,183361435.3423324,4.621786866666601,4.6340196999999534,0.08443377752851665,130700864.66666667,365747,184401277.40727377,7.7448161999997565,7.761811000000307,0.028065725114310536,130752377.33333333,396107,184364678.59044144
generate_random_regular_graph,4004,12012,4004,12012,0.3333333333333333,3.0,0.0014988758431176618,1681,3189,6,6,6,6.0,6.0,6.0,6.0,0.0,-0.0,6.815120933333371,6.784446499999831,0.052096557711006186,44883100.666666664,570123,62772977.887393005,14.546423866666979,14.495031200000085,0.09257727537116446,43423241.0,590303,60574944.46330432,12.189529866666817,12.233294800000294,0.07285003541337598,43129299.0,340411,60514792.31656903,1.6080539000001106,1.6053126999995584,0.008843923877584415,43037840.0,285755,60565566.01481548
generate_random_regular_graph,4005,16020,4005,16020,0.25,4.0,0.001998001998001998,2458,2203,4,8,8,8.0,8.0,8.0,8.0,0.0,-0.0,2.4170354333336945,2.424550300000192,0.012638197207300729,45054533.333333336,322139,63261283.19445567,15.445336099999926,15.452945699999873,0.11013745000912763,43510729.333333336,694015,60552176.09646112,13.487042099999902,13.499065500000142,0.03543754387693633,43179555.333333336,346123,60578862.335181125,12.33203896666661,12.3670075,0.08976906854084815,43177313.333333336,351363,60580907.95176007
generate_2d_grid_graph,4006,6007,4006,6007,0.6668886299317462,1.499500748876685,0.0007488143564927266,313,2802,487,2,3,2.99900149775337,3.0,3.0,3.0,0.010531273949681844,0.011392831991745017,7.15959706666672,7.149303999999574,0.02179435780304019,45076306.0,289928,63442466.75070914,14.923380399999587,14.852911799999674,0.20716433983636298,43242862.333333336,404919,60582006.103024445,5.907746399999875,5.932141399999637,0.05367084428266884,43048468.666666664,235363,60651850.90584032,1.8371248000003106,1.8409027000006972,0.016978515756372086,43009880.0,251723,60574017.2724719
generate_random_regular_graph,4007,12021,4007,12021,0.3333333333333333,3.0,0.0014977533699450823,2554,3968,5,6,6,6.0,6.0,6.0,6.0,0.0,-0.0,10.368205900000248,10.3898350999998,0.06870257891518279,45016579.0,591587,62826431.851570584,14.26304943333374,14.251786100000572,0.038345901409800896,43450734.333333336,591479,60612145.82246574,8.555275666666299,8.575985399999809,0.07214297374105585,43200000.333333336,340283,60612974.551703304,1.601508699999916,1.602242799999658,0.0017235902079482995,43052534.666666664,137291,60691342.25336448
generate_random_graph,4008,1484525,4008,1484525,0.002699853488489584,370.3904690618763,0.1848717090401179,590,868,2,665,833,740.7809381237525,741.0,724.0,757.0,0.033418763646958026,6.644392356880905,21.752278366666662,21.812796799999887,0.14436433131772175,276736961.3333333,2332147,388067162.74574584,20.612406133333025,20.679739199999858,0.16116908948827835,124387988.0,2330783,172615469.4703457,7.006031966666948,7.013838300000316,0.023871712987883525,123084127.33333333,388787,173537587.07244828,11.365775466666795,11.354262500000004,0.10515152593178517,123059184.0,349555,173554954.4554869
generate_random_regular_graph,4009,16036,4009,16036,0.25,4.0,0.001996007984031936,2022,2971,2,8,8,8.0,8.0,8.0,8.0,0.0,-0.0,10.559764933333403,10.445893099999921,0.35787525230991374,45452567.666666664,703491,63284756.78252775,14.477613233333917,14.462155400000483,0.04048112431345696,43605390.333333336,703383,60672606.280684315,13.673851166666585,13.768074599999636,0.14138357085589767,43266032.666666664,345139,60699332.55999189,2.7636088666668,2.763756199999989,0.02598276306011554,43209177.333333336,334219,60739278.461454205
