graph_type,num_nodes,num_edges,nodes,edges,ratio_n_m,ratio_m_n,density,starting_node,target_node,path_length,min_degree,max_degree,mean_degree,median_degree,q0.25_degree,q0.75_degree,variation_coefficient_degree,entropy_degree,astar_alg_avg_duration,astar_alg_median_duration,astar_alg_std_duration,astar_alg_avg_memory_used,astar_alg_median_memory_used,astar_alg_std_memory_used,dijkstra_alg_avg_duration,dijkstra_alg_median_duration,dijkstra_alg_std_duration,dijkstra_alg_avg_memory_used,dijkstra_alg_median_memory_used,dijkstra_alg_std_memory_used,bfs_alg_avg_duration,bfs_alg_median_duration,bfs_alg_std_duration,bfs_alg_avg_memory_used,bfs_alg_median_memory_used,bfs_alg_std_memory_used,dfs_alg_avg_duration,dfs_alg_median_duration,dfs_alg_std_duration,dfs_alg_avg_memory_used,dfs_alg_median_memory_used,dfs_alg_std_memory_used
generate_2d_grid_graph,3021,5932,3021,5932,0.5092717464598786,1.9635882158225753,0.0013003895469023677,2096,2807,43,2,4,3.9271764316451505,4.0,4.0,4.0,0.0674513202340889,0.38100702052068713,4.938066100003198,4.928651900001569,0.021462299994484894,26281243.0,147276,36959950.318905436,6.09166513333427,6.091937300006975,0.0014686002289752745,24663630.333333332,332511,34514398.09286076,4.300290399997418,4.2990036999981385,0.007704605060419498,24598781.666666668,267891,34514029.409235016,5.62589273333045,5.618267099998775,0.011532755258754525,24583734.666666668,301963,34444610.06114507
generate_delaunay_graph,3022,9043,3022,9043,0.33418113457923254,2.9923891462607544,0.0019810586867002678,1300,930,23,3,12,5.984778292521509,6.0,5.0,7.0,0.22784830655830615,2.4607461900733503,3.235428733334023,3.2455226000020048,0.020422665424492812,25878443.0,115707,36434016.31189198,6.279111066668217,6.281565099998261,0.016288841917831594,24679275.666666668,332335,34536772.80258024,1.724477366670423,1.7257962000003317,0.0025665665922192226,24571524.666666668,221987,34540445.5095503,2.6112802333324603,2.611463699999149,0.002581268394603467,24552165.333333332,118971,34553777.42571692
generate_2d_grid_graph,3023,3022,3023,3022,1.0003309066843151,0.9996692027786966,0.0006615944426066821,16,2405,2389,1,2,1.9993384055573933,2.0,2.0,2.0,0.0128607384135068,0.007941768415299283,4.872914466667377,4.873269600007916,0.0024895397225915754,25988457.666666668,343824,36371990.82351144,6.1144016333322115,6.098716899999999,0.02557814174570806,24700777.0,358559,34530065.640731625,4.883712433331918,4.8828784999932395,0.03277800769524282,24563680.333333332,270899,34460180.0569837,4.827662000000903,4.840744900007849,0.02033478708953953,24611846.333333332,269899,34529869.72599039
generate_random_graph,3024,803924,3024,803924,0.003761549599215846,265.8478835978836,0.1758834823671079,1621,1313,2,464,605,531.6957671957672,532.0,517.0,546.0,0.03998877681770567,6.423414142220067,11.387960599997314,11.372968900002888,0.028344962820895547,142266110.0,1684035,198824407.87823284,8.796084600001146,8.794532200001413,0.035154746065791664,67637660.0,1704911,93255970.62206623,4.351182399996712,4.347744200000307,0.022276125012261633,66680844.666666664,333075,93932708.16495815,2.6968719666668526,2.685876699993969,0.01898300599378315,66682442.666666664,188603,94036523.81198962
generate_dense_random_graph,3025,168959,3025,168959,0.017903751797773423,55.854214876033055,0.036940618304254665,827,897,2,72,152,111.70842975206611,111.0,104.0,119.0,0.09258202010229682,5.3956836037425955,0.6907138999958988,0.6900278999964939,0.0019440058907990848,44959254.666666664,1077683,62163172.280269526,6.7567663333320525,6.740049600004568,0.05026671056571368,26682997.333333332,1334335,35864579.24852074,2.41379026666497,2.425835999994888,0.01922596973982365,25914488.666666668,170067,36408144.217582524,0.20304036667221226,0.20316980000643525,0.0004761997223448656,25961214.666666668,314747,36374850.61539576
generate_random_regular_graph,3026,12104,3026,12104,0.25,4.0,0.002644628099173554,1508,1117,5,8,8,8.0,8.0,8.0,8.0,0.0,-0.0,4.981277800000195,4.979514400009066,0.0035024045983013843,26369850.666666668,531531,36645898.15204024,6.144823933335526,6.12657439999748,0.026009885184535217,24942401.333333332,531471,34627239.40533284,4.18960903333209,4.191239699997823,0.01110079557493376,24711156.666666668,297907,34630547.74576573,5.886177033336328,5.902289599995129,0.02347770022010763,24711435.333333332,298523,34630025.38465124
generate_delaunay_graph,3027,9058,3027,9058,0.334179730624862,2.992401717872481,0.001977793600708844,1073,448,24,3,12,5.984803435744962,6.0,5.0,7.0,0.22757807382241302,2.45933167733909,0.608941900000597,0.6084282000083476,0.0018859417920131945,25892856.333333332,69451,36519843.99018847,6.310481499996968,6.321946399999433,0.016730230768871573,24761265.0,327815,34659086.97466872,0.421864866662266,0.4224379999941448,0.0010624152406829165,24594091.333333332,60371,34695942.65828803,4.683451100000336,4.686941400010255,0.01694326585324709,24689505.0,261771,34650601.301664285
generate_delaunay_graph,3028,9061,3028,9061,0.334179450391789,2.9924042272126816,0.001977141874603688,2590,2635,12,3,12,5.984808454425363,6.0,5.0,7.0,0.2276213341752179,2.4597636866408603,7.55601406666877,7.688342500012368,0.3486949851814611,26118874.666666668,324427,36479067.027930416,6.686473900005997,6.684370300004957,0.07553813103179986,24773867.666666668,331375,34671875.21698497,5.022285333334973,5.000326300010784,0.041365607707993586,24683946.0,245203,34666600.70839046,2.908433699999781,2.917393700001412,0.022565030615987018,24660185.0,117691,34708350.49667977
generate_delaunay_graph,3029,9064,3029,9064,0.3341791703442189,2.9924067348960053,0.0019764905778705453,180,1862,19,3,12,5.984813469792011,6.0,5.0,7.0,0.22770503992909813,2.460459992310425,2.5849796333301733,2.6013950999913504,0.03929270368421865,25978384.333333332,98051,36600324.05559089,6.6292975666729035,6.633884400012903,0.010044177432486456,24792787.666666668,332975,34696369.35853034,2.1422068333340576,2.148228599995491,0.025279882222429717,24686070.333333332,223419,34699414.83445538,5.290884199998497,5.3021079000027385,0.03838478517411546,24713934.666666668,266123,34679425.72020116
generate_2d_grid_graph,3030,5929,3030,5929,0.5110473941642772,1.9567656765676569,0.0012920209155283307,933,1205,72,2,4,3.9135313531353138,4.0,4.0,4.0,0.07300651612956867,0.42989075649744635,8.01894153332978,8.005701499991119,0.022312838371970997,25805486.333333332,327867,36030823.08245392,6.485999633334965,6.482869400002528,0.005164512300641621,24809097.0,333039,34614378.833884895,5.694061199993787,5.685552299997653,0.0422110950497261,24712815.333333332,277507,34661743.363628484,1.556086533339112,1.5585777000087546,0.005793752818416949,24679246.333333332,104347,34754178.558572985
